edit_id,action,application-list,auto-asic-offload,av-profile,comments,dstaddr,dstintf,groups,inspection-mode,internet-service,internet-service-name,ips-sensor,logtraffic,name,nat,np-acceleration,port-preserve,schedule,service,srcaddr,srcintf,ssl-ssh-profile,status,timeout-send-rst,users,utm-status,uuid,webfilter-profile,ztna-ems-tag,ztna-status
203,accept,,,,Clone of 176,DOSSB_KSB-192.168.4.0/24,toKSB_secondary,DeleumHQ_SSO_user,,,,high_security,,,,,,always,ALL,trust_dhcp,port9,certificate-inspection,,,,enable,0fd3a3e0-174c-51ed-b120-99e8b2d4976f,,,
204,accept,,,,Reverse of 179,FAZ200F_192.168.30.2,port5,,,,,,disable,,,,,always,ALL,DOSSB_KSB-192.168.4.0/24,toKSB_secondary,,,,,,1365eb48-174d-51ed-b40d-b5e3d2fb43fc,,,
205,accept,deleum application control,disable,,Reverse of 201,Server-192.168.42.0/24,port10,,,,,high_security,all,,,disable,,always,ALL,DOSSB_KSB-192.168.4.0/24,toKSB_secondary,certificate-inspection,,,,enable,26fe4f6a-174d-51ed-873f-0de780a11b0d,deleum_webfilter,,
206,accept,,,,Clone of 85,Miri_WS-192.168.8.0/24,MiriWHsecondary,,,,,,disable,,,,,always,ALL,FAZ200F_192.168.30.2,port5,,,,,,cb659614-175a-51ed-9420-63f89c0497ae,,,
207,accept,,,,Clone of 83,Miri_WS-192.168.8.0/24,MiriWHsecondary,,,,,,,,,,,always,ALL,Server-192.168.42.0/24,port10,,,,,,d12b715e-175a-51ed-3ad3-e8bf00b6c599,,,
208,accept,,,,Clone of 84,Miri_WS-192.168.8.0/24,MiriWHsecondary,SSL_VPN_HQ,,,,,,,,,,always,ALL,SSL_VPN_HQ,ssl.root,,,,,,d7a930d4-175a-51ed-8e25-20372112e373,,,
209,accept,,,,Clone of 86,FAZ200F_192.168.30.2,port5,,,,,,all,,,,,always,ALL,Miri_WS-192.168.8.0/24,MiriWHsecondary,,,,,,a5a90d92-175b-51ed-7aad-997abe8c5750,,,
21,accept,deleum application control,,default,,HQ_Wifi_User-10.10.10.0/23,port6,,,,,high_security,,,,,,always,"PING, TRACEROUTE",Server-192.168.42.0/24,port10,certificate-inspection,disable,,,enable,0eb7b610-673f-51e9-a1fb-e189999bd23c,deleum_webfilter,,
210,accept,,,,Clone of 168,pulse_new_172.16.0.0/24,port11,,,,,default,,,,,,always,ALL,Miri_WS-192.168.8.0/24,MiriWHsecondary,certificate-inspection,,,,enable,b44b7a42-175b-51ed-172c-0627889d395a,,,
211,accept,,,,Clone of 82,Server-192.168.42.0/24,port10,,,,,default,all,,,,,always,ALL,Miri_WS-192.168.8.0/24,MiriWHsecondary,certificate-inspection,,,,enable,bb6af94c-175b-51ed-ef70-2f5dd2dff9f5,,,
212,accept,,,,Clone of 112,Miri_WS-192.168.8.0/24,MiriWHsecondary,,,,,high_security,disable,,,,,always,ALL,trust_dhcp,port9,certificate-inspection,disable,,,enable,d42f9546-175b-51ed-e445-c354d796f4e9,,,
213,accept,,,,Clone of vpn_to_DOSSB_Miri_local,DOSSB_Miri-192.168.5.0/24,Miri_secondary,,,,,,,,,,,always,ALL,Server-192.168.42.0/24,port10,,,,,,819241d6-175f-51ed-4ccd-6a1e73129d28,,,
214,accept,,,,Clone of 118,DOSSB_Miri-192.168.5.0/24,Miri_secondary,SSL_VPN_HQ,,,,,,,,,,always,ALL,SSL_VPN_HQ,ssl.root,,,,,,228d5468-1760-51ed-994e-9f918c7bfd57,,,
215,accept,,,,Clone of 117,FAZ200F_192.168.30.2,port5,,,,,,all,,,,,always,ALL,DOSSB_Miri-192.168.5.0/24,Miri_secondary,,,,,,2a789d54-1760-51ed-fcb3-7cd9fc18283a,,,
216,accept,,,,Clone of 171,pulse_new_172.16.0.0/24,port11,,,,,default,,,,,,always,ALL,DOSSB_Miri-192.168.5.0/24,Miri_secondary,certificate-inspection,,,,enable,37a00d96-1760-51ed-272d-1b3e926a5f91,,,
217,accept,,,,Clone of 115,Server-192.168.42.0/24,port10,,,,,high_security,all,,,,,always,ALL,DOSSB_Miri-192.168.5.0/24,Miri_secondary,certificate-inspection,,,,enable,46980e02-1760-51ed-8a3a-f44f4e86efaa,,,
218,accept,,,,Clone of 116,DOSSB_Miri-192.168.5.0/24,Miri_secondary,,,,,high_security,disable,,,,,always,ALL,trust_dhcp,port9,certificate-inspection,disable,,,enable,8e6a1a54-1760-51ed-d9b4-9861fbb8a12c,,,
219,accept,,,,,DOSSB_Miri-192.168.5.0/24,Miri_secondary,,,,,default,all,,,,,always,ALL,pulse_new_172.16.0.0/24,port11,certificate-inspection,,,,enable,a43b9608-1c5d-51ed-52c6-75c8fd37b8be,,,
22,accept,,,,,Trust-192.168.0.0/23,port9,,,,,default,,,,,,always,ALL,Server-192.168.42.0/24,port10,certificate-inspection,,,,enable,3b45935a-673f-51e9-ebe4-64fa798c2852,,,
220,accept,,,,Clone of 189,DOSSB_KK-192.168.13.0/24,toKK_secondary,,,,,,disable,,,,,always,ALL,FAZ200F_192.168.30.2,port5,,,,,,826abf36-38cd-51ed-b1d1-cc29f52ee5d3,,,
221,accept,,,,Clone of 189,DOSSB_KK-192.168.13.0/24,to_KK,,,,,,disable,,,,,always,ALL,FAZ200F_192.168.30.2,port5,,,,,,a53f98c4-38cd-51ed-9b6d-ce1a94df3a14,,,
222,accept,,,,Reverse of 220,FAZ200F_192.168.30.2,port5,,,,,,disable,,,,,always,ALL,DOSSB_KK-192.168.13.0/24,toKK_secondary,,,,,,03742bee-38ce-51ed-07cd-0b05c588bba1,,,
223,accept,,,,Reverse of 221,FAZ200F_192.168.30.2,port5,,,,,,disable,,,,,always,ALL,DOSSB_KK-192.168.13.0/24,to_KK,,,,,,1851fc44-38ce-51ed-632e-a4147c4fcfff,,,
224,accept,,,,Clone of 216,pulse_new_172.16.0.0/24,port11,,,,,default,,,,,,always,ALL,DOSSB_KK-192.168.13.0/24,toKK_secondary,certificate-inspection,,,,enable,3d072226-38ce-51ed-cb32-c4f5ad3df3ad,,,
225,accept,,,,Clone of 224,pulse_new_172.16.0.0/24,port11,,,,,default,,,,,,always,ALL,DOSSB_KK-192.168.13.0/24,to_KK,certificate-inspection,,,,enable,7c8fcf4c-38ce-51ed-2c7f-aede707953c6,,,
226,accept,,,,Reverse of 224,DOSSB_KK-192.168.13.0/24,toKK_secondary,,,,,default,,,,,,always,ALL,pulse_new_172.16.0.0/24,port11,certificate-inspection,,,,enable,813a1b9c-38ce-51ed-5c54-02ea179fa07d,,,
227,accept,,,,Reverse of 225,DOSSB_KK-192.168.13.0/24,to_KK,,,,,default,,,,,,always,ALL,pulse_new_172.16.0.0/24,port11,certificate-inspection,,,,enable,e54c993e-38ce-51ed-070f-5368e117ed97,,,
